Title,Description,Status,Category,Location,ID
USB 2.0 UGA multidisplay adapter,Enbart testad i orginal kartong,Working,Computer,A2,20200088
Nätagg Reichert,"Reichert type 6209.01 nätagg. Ska ge 0-6/6-12 V, ger 1 eller 8 V AC",Other,Instrument,A2,20200089
Reichert Type G209.01,"Nätaggregat DC, möter inte spec. med råge",Other,Instrument,A2,20200089
Corsair HX1200i,"1200W nätaggeregat från Corsair, ny i förpackning",Working,Computer,A1,20200090
Scientific Atlanta 1711 microwave measurment reciver,"För höga frekvenser, Test inkluderade koppla in ström samt mäta på portar, lyser och ser glad ut. Kommer från ett övergivet labb. 10MHz referensen på baksidan driftar, Otestad på övrig funktion då övriga pereferienheter saknas.",Lights up,Instrument,A1,20200091
Värmeplatta,Hotplate SH3 Stuart scientific,Working,Gerät,A3,20200092
Nortek AS Undervattensaukustikutrustning,"10MHz, N-0187 don, undervattenskablage",Not tested,Gerät,A3,20200094
Verkstadsbord,Justeringsbart verkstadsbord Made in Italy,Working,Miscellaneous,A3,20200095
Poängräknare för scen,"Swift Modell F, Lyser och räknar men inte testad mot scen.",Working,Miscellaneous,A3,20200096
Lödstation,Ungarmatic controlled soldering station 50TK,Working,Instrument,A3,20200097
Bang & Olufsen RT12,"AC-agg 0-280V, isolerad utgång, fungerar",Working,Power supply,A3,20200098
